JobID,JobTitle,Company,Industry,Location,PostedDate,SalaryMin,SalaryMax,ExperienceLevel,RemoteOption,Skills
JOB0001,Senior Data Analyst,NovaSoft,Retail,Ahmedabad,2024-03-24,1990000,2403907,Senior,Yes,"SQL, Azure, Machine Learning, TensorFlow, Looker, R"
JOB0002,Senior Data Analyst,Quantify,E-Commerce,Hyderabad,2024-01-21,1980000,2530181,Senior,Hybrid,"Power BI, Excel, NumPy, Git, Statistics, Looker, TensorFlow, SQL"
JOB0003,Data Analyst,TechCorp,BFSI,Pune,2024-03-11,850000,970479,Mid,No,"TensorFlow, R, Looker, Git, Tableau, ETL"
JOB0004,Junior Data Analyst,PrimeAnalytics,Retail,Noida,2024-03-28,510000,764257,Entry,Yes,"Azure, Looker, DAX, ETL, R, Power BI, Tableau, Git"
JOB0005,Data Analyst,DataBridge,Retail,Delhi,2024-03-01,1040000,1382682,Mid,Yes,"DAX, Tableau, R, Looker"
JOB0006,Junior Data Analyst,PulseTech,SaaS,Bangalore,2024-03-29,520000,655152,Entry,Yes,"AWS, Machine Learning, dbt"
JOB0007,Junior Data Analyst,MetricsMind,Fintech,Pune,2024-02-14,520000,931665,Entry,Hybrid,"Power BI, ETL, Snowflake, Spark"
JOB0008,Data Analyst,DataPeak,EdTech,Delhi,2024-01-14,1020000,1426429,Mid,Hybrid,"AWS, ETL, Statistics, Azure, Machine Learning, Python, Git, Power BI"
JOB0009,Data Analyst,StreamlineIT,Logistics,Ahmedabad,2024-03-14,1090000,1243646,Mid,Hybrid,"Looker, dbt, Statistics, DAX"
JOB0010,Junior Data Analyst,PulseTech,Fintech,Bangalore,2024-01-22,440000,541400,Entry,No,"Machine Learning, Power BI, Tableau, Snowflake"
JOB0011,Junior Data Analyst,CoreMetrics,BFSI,Ahmedabad,2024-03-12,430000,798280,Entry,No,"NumPy, TensorFlow, DAX, AWS, Excel, dbt"
JOB0012,Data Analyst,DataBridge,Healthcare,Gurugram,2024-02-05,960000,1499693,Mid,Hybrid,"DAX, Looker, Power BI, Machine Learning, R, Git, NumPy"
JOB0013,Data Analyst,AnalytiQ,SaaS,Kolkata,2024-01-04,1050000,1514432,Mid,No,"Excel, Snowflake, NumPy, ETL, R"
JOB0014,Junior Data Analyst,PrimeAnalytics,Retail,Hyderabad,2024-01-26,540000,1099430,Entry,No,"Statistics, ETL, R, SQL"
JOB0015,Junior Data Analyst,DataVision,Logistics,Pune,2024-01-02,480000,752203,Entry,Hybrid,"ETL, Azure, Looker"
JOB0016,Senior Data Analyst,StreamlineIT,SaaS,Ahmedabad,2024-03-14,1900000,2208820,Senior,Yes,"Azure, Git, Python"
JOB0017,Data Analyst,NexGen,Healthcare,Bangalore,2024-03-31,890000,1238223,Mid,Hybrid,"Snowflake, Excel, Python, ETL, SQL, AWS, Looker, Power BI"
JOB0018,Data Analyst,PulseTech,Fintech,Chennai,2024-03-19,860000,989385,Mid,Hybrid,"Python, DAX, Excel, Azure, Machine Learning, dbt"
JOB0019,Senior Data Analyst,MetricsMind,E-Commerce,Gurugram,2024-03-26,1570000,2144860,Senior,Yes,"ETL, Looker, SQL, Statistics, NumPy, TensorFlow, DAX"
JOB0020,Junior Data Analyst,Quantify,BFSI,Mumbai,2024-03-29,460000,604023,Entry,Hybrid,"Pandas, Python, Azure, Machine Learning"
JOB0021,Data Analyst,Quantify,E-Commerce,Bangalore,2024-01-12,940000,1333894,Mid,Yes,"Excel, DAX, Pandas, Power BI, Snowflake"
JOB0022,Junior Data Analyst,NexGen,EdTech,Pune,2024-02-01,480000,889932,Entry,No,"SQL, R, Git, Machine Learning, ETL, Spark, Python, TensorFlow"
JOB0023,Junior Data Analyst,MetricsMind,Logistics,Delhi,2024-01-29,490000,960102,Entry,Yes,"R, Azure, Tableau, DAX, NumPy"
JOB0024,Data Analyst,Quantify,SaaS,Mumbai,2024-03-23,930000,1395721,Mid,Hybrid,"Azure, Power BI, TensorFlow, ETL, Looker, R"
JOB0025,Senior Data Analyst,InfoSys Analytics,Logistics,Gurugram,2024-03-30,1800000,1981633,Senior,Hybrid,"dbt, Machine Learning, NumPy, ETL, AWS, Excel, R"
JOB0026,Junior Data Analyst,AnalytiQ,Retail,Noida,2024-01-18,460000,674428,Entry,No,"Azure, Python, Excel, Looker, R, Spark"
JOB0027,Data Analyst,AnalytiQ,Healthcare,Pune,2024-03-23,810000,1079015,Mid,Yes,"Excel, ETL, SQL, R, NumPy, Spark, Looker, TensorFlow"
JOB0028,Junior Data Analyst,DataPeak,EdTech,Chennai,2024-02-21,520000,906669,Entry,No,"SQL, Pandas, dbt, NumPy"
JOB0029,Senior Data Analyst,ClarityBI,BFSI,Mumbai,2024-02-04,1750000,2102999,Senior,Hybrid,"Statistics, AWS, Python, Spark, Excel, Machine Learning, Pandas, Git"
JOB0030,Junior Data Analyst,InfoSys Analytics,Fintech,Pune,2024-03-25,530000,717233,Entry,No,"Git, Looker, Machine Learning, Tableau, dbt"
JOB0031,Junior Data Analyst,InfoSys Analytics,Logistics,Delhi,2024-01-23,490000,830497,Entry,No,"R, Pandas, SQL, Tableau, Machine Learning, dbt"
JOB0032,Junior Data Analyst,Quantify,SaaS,Chennai,2024-02-17,450000,778877,Entry,Yes,"Spark, Tableau, Snowflake"
JOB0033,Junior Data Analyst,PulseTech,Healthcare,Delhi,2024-01-13,520000,908268,Entry,No,"Statistics, Machine Learning, TensorFlow, Git, Pandas, ETL, Excel, Looker"
JOB0034,Data Analyst,InsightHub,Fintech,Noida,2024-03-03,970000,1540821,Mid,Hybrid,"NumPy, Statistics, Snowflake, Power BI, ETL"
JOB0035,Junior Data Analyst,ZetaData,Healthcare,Hyderabad,2024-03-23,460000,753531,Entry,Yes,"DAX, Looker, SQL, Statistics, Power BI"
JOB0036,Junior Data Analyst,ZetaData,BFSI,Mumbai,2024-02-06,450000,708302,Entry,No,"Power BI, DAX, Statistics, R, NumPy, Git"
JOB0037,Data Analyst,CoreMetrics,E-Commerce,Mumbai,2024-01-11,1020000,1214119,Mid,No,"Statistics, Looker, Excel, Pandas"
JOB0038,Junior Data Analyst,ByteWise,Fintech,Kolkata,2024-02-21,480000,647496,Entry,No,"Looker, Statistics, Pandas, SQL, TensorFlow, DAX, Snowflake"
JOB0039,Data Analyst,InfoSys Analytics,BFSI,Delhi,2024-01-23,860000,1276479,Mid,No,"Looker, ETL, TensorFlow, DAX, dbt, Python"
JOB0040,Junior Data Analyst,ZetaData,E-Commerce,Ahmedabad,2024-02-06,480000,1077130,Entry,Yes,"dbt, Azure, Machine Learning, Looker, Pandas, Snowflake, SQL, Spark"
JOB0041,Data Analyst,Quantify,Logistics,Pune,2024-01-04,820000,1386179,Mid,Hybrid,"ETL, Azure, NumPy, DAX, AWS, Statistics, Snowflake"
JOB0042,Data Analyst,InsightHub,BFSI,Delhi,2024-01-05,1010000,1119184,Mid,Hybrid,"DAX, AWS, Python, Excel, ETL, TensorFlow"
JOB0043,Junior Data Analyst,PrimeAnalytics,EdTech,Noida,2024-02-14,540000,689583,Entry,No,"Tableau, TensorFlow, NumPy, Azure"
JOB0044,Data Analyst,PulseTech,E-Commerce,Pune,2024-03-06,820000,960126,Mid,Hybrid,"ETL, Python, Tableau, Excel, Statistics"
JOB0045,Data Analyst,ByteWise,Logistics,Noida,2024-01-25,1010000,1121735,Mid,Hybrid,"Azure, Power BI, NumPy, Excel"
JOB0046,Senior Data Analyst,DataPeak,Healthcare,Gurugram,2024-02-25,1960000,2507869,Senior,No,"Python, ETL, TensorFlow, Machine Learning"
JOB0047,Senior Data Analyst,DataPeak,Healthcare,Pune,2024-01-03,1440000,1856996,Senior,No,"R, AWS, Azure, SQL, NumPy, Excel"
JOB0048,Data Analyst,StreamlineIT,Logistics,Ahmedabad,2024-01-09,960000,1110933,Mid,Hybrid,"Spark, SQL, DAX, Git"
JOB0049,Senior Data Analyst,NexGen,SaaS,Ahmedabad,2024-02-10,1840000,2272803,Senior,No,"DAX, Snowflake, Statistics, TensorFlow, SQL, R, Pandas"
JOB0050,Senior Data Analyst,VisionAI,SaaS,Chennai,2024-03-14,1920000,2130434,Senior,Yes,"R, Statistics, Azure, dbt, Python, DAX, NumPy"
JOB0051,Junior Data Analyst,StreamlineIT,Healthcare,Chennai,2024-01-04,450000,942173,Entry,Yes,"ETL, AWS, dbt, DAX, Pandas, Looker, Spark"
JOB0052,Senior Data Analyst,CoreMetrics,Healthcare,Noida,2024-01-31,1850000,2167785,Senior,No,"AWS, Snowflake, TensorFlow"
JOB0053,Junior Data Analyst,VisionAI,BFSI,Kolkata,2024-01-21,420000,727486,Entry,Hybrid,"Machine Learning, Excel, AWS, R"
JOB0054,Data Analyst,CoreMetrics,EdTech,Ahmedabad,2024-03-09,910000,1229246,Mid,No,"Azure, DAX, ETL, Excel, dbt, Git, Pandas"
JOB0055,Data Analyst,CloudBase,Healthcare,Kolkata,2024-02-12,950000,1483134,Mid,No,"R, Git, Statistics, AWS, SQL, Azure"
JOB0056,Senior Data Analyst,StreamlineIT,E-Commerce,Noida,2024-03-20,2080000,2399204,Senior,Hybrid,"NumPy, Machine Learning, SQL, Spark, Tableau, AWS"
JOB0057,Senior Data Analyst,InfoSys Analytics,SaaS,Chennai,2024-03-13,1820000,2415708,Senior,Hybrid,"DAX, Spark, R"
JOB0058,Junior Data Analyst,ByteWise,Healthcare,Bangalore,2024-01-26,500000,889437,Entry,No,"Machine Learning, R, Pandas, ETL, Spark, Power BI, TensorFlow"
JOB0059,Junior Data Analyst,StreamlineIT,E-Commerce,Chennai,2024-03-05,450000,852829,Entry,Hybrid,"Pandas, Spark, Git, dbt, R, Looker"
JOB0060,Junior Data Analyst,StreamlineIT,E-Commerce,Gurugram,2024-02-23,460000,802332,Entry,No,"Power BI, SQL, Python, NumPy, TensorFlow, Looker, Machine Learning, Snowflake"
JOB0061,Senior Data Analyst,DataBridge,SaaS,Bangalore,2024-03-06,1420000,1749911,Senior,Hybrid,"Python, AWS, Statistics, Git, ETL, Machine Learning"
JOB0062,Junior Data Analyst,InsightHub,Healthcare,Ahmedabad,2024-03-25,430000,974108,Entry,No,"dbt, Excel, R, ETL, NumPy"
JOB0063,Junior Data Analyst,PulseTech,SaaS,Ahmedabad,2024-02-13,460000,610921,Entry,No,"Power BI, Pandas, TensorFlow, Spark, Azure"
